#,Artist,Monthly Listeners,Followers
1,Chappell Roan,"45,098,652","5,988,021"
2,Phoebe Bridgers,"11,194,260","2,809,386"
3,Lizzy McAlpine,"9,999,567","1,280,087"
4,Suki Waterhouse,"9,782,088","1,129,329"
5,Bleachers,"9,197,318","851,367"
6,Men I Trust,"8,997,965","2,174,752"
7,Faye Webster,"8,190,834","1,861,663"
8,Adrianne Lenker,"7,363,726","1,090,433"
9,Maggie Rogers,"7,136,344","1,233,635"
10,Beach Bunny,"6,793,193","1,743,866"
11,Big Thief,"5,950,996","1,141,893"
12,Matt Maltese,"5,537,719","702,799"
13,Rachel Chinouriri,"4,904,485","305,065"
14,Remi Wolf,"4,255,916","598,047"
15,Lucy Dacus,"3,914,649","591,580"
16,boygenius,"3,602,057","1,031,484"
17,mxmtoon,"3,495,824","1,988,180"
18,Regina Spektor,"3,465,371","1,436,324"
19,The Shins,"3,266,368","1,216,479"
20,King Princess,"3,090,139","1,745,035"
21,Ethel Cain,"3,077,747","936,537"
22,The Last Dinner Party,"2,793,091","588,363"
23,Japanese Breakfast,"2,652,304","785,710"
24,flora cash,"2,561,564","335,158"
25,Del Water Gap,"2,520,471","250,071"
26,The Japanese House,"2,383,700","765,895"
27,Sir Chloe,"2,326,069","865,928"
28,BETWEEN FRIENDS,"2,271,756","288,169"
29,Kate Bollinger,"1,826,138","109,647"
30,Leith Ross,"1,772,421","317,839"
31,Rina Sawayama,"1,746,656","1,040,434"
32,Shelly,"1,718,290","142,891"
33,chloe moriondo,"1,588,895","701,703"
34,Holly Humberstone,"1,408,917","283,648"
35,Haley Heynderickx,"1,322,967","305,330"
36,Searows,"1,287,699","189,849"
37,MUNA,"1,178,942","425,426"
38,Lucius,"1,152,523","191,272"
39,awfultune,"1,131,865","377,525"
40,dodie,"1,124,064","1,054,734"
41,Sylvan Esso,"931,101","580,798"
42,Adam Melchor,"878,732","118,925"
43,Julia Jacklin,"876,706","317,181"
44,Courtney Barnett,"843,134","609,584"
45,Tessa Violet,"789,208","697,886"
46,Orla Gartland,"777,594","273,189"
47,Julien Baker,"771,181","516,786"
48,Whitney,"764,020","274,172"
49,Sarah Kinsley,"752,020","309,431"
50,Sjowgren,"742,146","90,663"
51,Christian Leave,"719,253","355,725"
52,Tennis,"701,119","312,307"
53,Angel Olsen,"685,721","500,898"
54,Blondshell,"673,851","96,192"
55,Maya Hawke,"603,641","516,196"
56,Indigo De Souza,"585,548","191,738"
57,HUNNY,"572,294","262,163"
58,Caroline Rose,"527,514","131,655"
59,Samia,"507,117","153,666"
60,The Greeting Committee,"488,519","137,592"
61,Matilda Mann,"476,667","105,615"
62,Rilo Kiley,"462,772","243,961"
63,Dora Jar,"444,217","89,484"
64,Jenny Lewis,"378,864","202,666"
65,The Aces,"377,870","302,614"
66,Lunar Vacation,"341,200","110,855"
67,The Regrettes,"340,817","280,305"
68,Jay Som,"316,167","134,473"
69,Claud,"316,123","126,273"
