#,Artist,Monthly Listeners,Followers
1,SZA,"82,896,466","29,205,618"
2,Beyoncé,"56,809,758","40,162,394"
3,Chris Brown,"56,038,428","26,157,753"
4,Michael Jackson,"46,819,673","35,463,929"
5,USHER,"42,749,443","13,118,654"
6,Ty Dolla $ign,"42,675,936","6,504,074"
7,Ne-Yo,"41,765,772","9,764,716"
8,PARTYNEXTDOOR,"37,038,780","8,885,528"
9,Alicia Keys,"32,213,573","12,538,248"
10,Miguel,"29,568,573","5,805,753"
11,GIVĒON,"26,664,141","4,641,373"
12,Tory Lanez,"22,926,002","7,671,026"
13,T-Pain,"21,172,089","5,430,561"
14,Bryson Tiller,"20,939,106","9,919,462"
15,Summer Walker,"20,677,024","7,571,167"
16,Big Sean,"20,060,590","11,432,144"
17,Brent Faiyaz,"19,697,734","7,359,693"
18,Jeremih,"16,956,055","7,004,242"
19,Kehlani,"16,446,926","8,191,136"
20,Destiny's Child,"14,408,438","7,814,332"
21,Mary J. Blige,"13,671,993","4,185,209"
22,Jhené Aiko,"13,475,721","9,148,469"
23,Jorja Smith,"12,786,759","3,573,202"
24,6LACK,"12,739,947","4,809,149"
25,Ciara,"12,420,341","7,102,770"
26,Wale,"12,344,999","4,203,147"
27,H.E.R.,"11,326,862","8,361,698"
28,Mario,"10,550,055","3,779,069"
29,Lloyd,"10,087,007","2,567,330"
30,Normani,"10,064,975","2,883,051"
31,Cassie,"10,014,411","1,797,489"
32,Keyshia Cole,"9,833,977","4,175,391"
33,Trey Songz,"9,061,920","7,670,293"
34,Ja Rule,"8,155,496","2,054,194"
35,Boyz II Men,"7,827,304","3,427,934"
36,Eve,"7,819,955","1,511,213"
37,Ella Mai,"7,498,003","5,939,104"
38,Brandy,"7,375,928","3,928,043"
39,Sonder,"7,374,090","1,754,537"
40,Ashanti,"6,863,337","3,401,258"
41,Ginuwine,"6,302,239","2,736,794"
42,Jacquees,"6,285,067","3,302,985"
43,Estelle,"6,126,048","353,483"
44,Aaliyah,"5,955,055","4,839,288"
45,Robin Thicke,"5,842,551","1,985,628"
46,Monica,"5,623,902","2,761,647"
47,Jamie Foxx,"5,504,137","1,292,375"
48,R. Kelly,"4,987,386","2,472,160"
49,Toni Braxton,"4,969,370","4,376,708"
50,Justine Skye,"4,905,406","911,092"
51,Bow Wow,"4,676,405","1,577,672"
